1,2,0,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,6,0,2,3,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1
1,7,4,2,10,3,0,2,0,0,0,0,0,0,1,2,6,0,0,0,1
1,0,1,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,2,0,5
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
1,0,1,0,0,0,1,0,0,0,1,1,2,2,0,0,0,1,0,0,5
1,2,3,0,0,0,1,0,6,0,4,2,0,0,0,0,0,0,3,0,5
1,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
1,2,0,0,0,0,5,0,1,0,0,1,6,0,0,0,0,4,0,0,7
1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
